age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race,sex,priors_count,c_charge_degree
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
0.27941176458613204,0.08749999977606691,0.10771992797375822,0.22313296888430606,0.38773584899565916,0.1201266181083577,0.166994105909595
